juris,2010,2015,2020,2025,2030,2035,2040
Alameda,151,151,151,151,151,151,151
Alameda County,150,150,150,150,150,150,150
Albany,37,37,37,37,37,37,37
American Canyon,28,28,28,28,28,28,28
Antioch,161,161,161,161,161,161,161
Atherton,16,16,16,16,16,16,16
Belmont,50,50,50,50,50,50,50
Belvedere,3,3,3,3,3,3,3
Benicia,53,53,53,53,53,53,53
Berkeley,230,230,230,230,230,230,230
Brentwood,82,82,82,82,82,82,82
Brisbane,9,9,9,9,9,9,9
Burlingame,62,62,62,62,62,62,62
Calistoga,5,5,5,5,5,5,5
Campbell,81,81,81,81,81,81,81
Clayton,22,22,22,22,22,22,22
Cloverdale,12,12,12,12,12,12,12
Colma,0,0,0,0,0,0,0
Concord,221,221,221,221,221,221,221
Contra Costa County,228,228,228,228,228,228,228
Corte Madera,8,8,8,8,8,8,8
Cotati,15,15,15,15,15,15,15
Cupertino,101,101,101,101,101,101,101
Daly City,155,155,155,155,155,155,155
Danville,78,78,78,78,78,78,78
Dixon,29,29,29,29,29,29,29
Dublin,75,75,75,75,75,75,75
East Palo Alto,35,35,35,35,35,35,35
El Cerrito,51,51,51,51,51,51,51
Emeryville,28,28,28,28,28,28,28
Fairfax,8,8,8,8,8,8,8
Fairfield,172,172,172,172,172,172,172
Foster City,60,60,60,60,60,60,60
Fremont,355,355,355,355,355,355,355
Gilroy,65,65,65,65,65,65,65
Half Moon Bay,21,21,21,21,21,21,21
Hayward,229,229,229,229,229,229,229
Healdsburg,28,28,28,28,28,28,28
Hercules,41,41,41,41,41,41,41
Hillsborough,12,12,12,12,12,12,12
Lafayette,40,40,40,40,40,40,40
Larkspur,20,20,20,20,20,20,20
Livermore,146,146,146,146,146,146,146
Los Altos,54,54,54,54,54,54,54
Los Altos Hills,19,19,19,19,19,19,19
Los Gatos,60,60,60,60,60,60,60
Marin County,30,30,30,30,30,30,30
Martinez,71,71,71,71,71,71,71
Menlo Park,62,62,62,62,62,62,62
Mill Valley,20,20,20,20,20,20,20
Millbrae,40,40,40,40,40,40,40
Milpitas,96,96,96,96,96,96,96
Monte Sereno,5,5,5,5,5,5,5
Moraga,29,29,29,29,29,29,29
Morgan Hill,62,62,62,62,62,62,62
Mountain View,160,160,160,160,160,160,160
Napa,140,140,140,140,140,140,140
Napa County,30,30,30,30,30,30,30
Newark,65,65,65,65,65,65,65
Novato,70,70,70,70,70,70,70
Oakland,769,769,769,769,769,769,769
Oakley,195,195,195,195,195,195,195
Orinda,33,33,33,33,33,33,33
Pacifica,65,65,65,65,65,65,65
Palo Alto,132,132,132,132,132,132,132
Petaluma,109,109,109,109,109,109,109
Piedmont,9,9,9,9,9,9,9
Pinole,34,34,34,34,34,34,34
Pittsburg,98,98,98,98,98,98,98
Pleasant Hill,73,73,73,73,73,73,73
Pleasanton,126,126,126,126,126,126,126
Portola Valley,9,9,9,9,9,9,9
Redwood City,140,140,140,140,140,140,140
Richmond,180,180,180,180,180,180,180
Rio Vista,17,17,17,17,17,17,17
Rohnert Park,79,79,79,79,79,79,79
Ross,3,3,3,3,3,3,3
San Anselmo,15,15,15,15,15,15,15
San Bruno,74,74,74,74,74,74,74
San Carlos,58,58,58,58,58,58,58
San Francisco,1729,1729,1729,1729,1729,1729,1729
San Jose,1507,1507,1507,1507,1507,1507,1507
San Leandro,154,154,154,154,154,154,154
San Mateo,191,191,191,191,191,191,191
San Mateo County,105,105,105,105,105,105,105
San Pablo,44,44,44,44,44,44,44
San Rafael,114,114,114,114,114,114,114
San Ramon,126,126,126,126,126,126,126
Santa Clara,215,215,215,215,215,215,215
Santa Clara County,47,47,47,47,47,47,47
Santa Rosa,318,318,318,318,318,318,318
Saratoga,71,71,71,71,71,71,71
Sausalito,14,14,14,14,14,14,14
Sebastopol,16,16,16,16,16,16,16
Solano County,18,18,18,18,18,18,18
Sonoma,23,23,23,23,23,23,23
Sonoma County,156,156,156,156,156,156,156
South San Francisco,105,105,105,105,105,105,105
St. Helena,6,6,6,6,6,6,6
Suisun City,50,50,50,50,50,50,50
Sunnyvale,267,267,267,267,267,267,267
Tiburon,11,11,11,11,11,11,11
Union City,102,102,102,102,102,102,102
Vacaville,155,155,155,155,155,155,155
Vallejo,203,203,203,203,203,203,203
Walnut Creek,152,152,152,152,152,152,152
Windsor,50,50,50,50,50,50,50
Woodside,11,11,11,11,11,11,11
Yountville,3,3,3,3,3,3,3
