alternative,station,x,y
0,placeholder,-122,37
1,Fillmore,-122.433080914,37.7846039182
1,Van Ness,-122.421646605,37.7855236991
1,Union Square,-122.409733628,37.7872770098
1,3rd St Mission,-122.400657,37.7849873731
1,Ballpark,-122.392732752,37.7790532341
1,Mission Rock,-122.389648946,37.773673677
1,Alameda,-122.291522713,37.7801048027
1,Jack London Square,-122.275174114,37.7951517078
1,15th/Franklin,-122.269299576,37.8050767312
2,Fillmore,-122.433080914,37.7846039182
2,Van Ness,-122.421646605,37.7855236991
2,Hyde,-122.415320231,37.7807457703
2,Howard,-122.411633937,37.7762549544
2,6th/Brannan,-122.401849454,37.7741419476
2,4th/Brannan,-122.39536519,37.7792782266
2,Alameda,-122.294181113,37.7805728641
2,Howard Terminal,-122.282371706,37.7971106983
2,11th Street,-122.271412481,37.801818998
2,Eastlake,-122.255850078,37.7944231238
2,14th Street,-122.277152197,37.8068638055
3,Fillmore,-122.433080914,37.7846039182
3,Van Ness,-122.421646605,37.7855236991
3,Union Square,-122.409733628,37.7872770098
3,3rd St Mission,-122.400657,37.7849873731
3,Ballpark,-122.392732752,37.7790532341
3,Mission Rock,-122.389648946,37.773673677
3,Alameda,-122.294181113,37.7805728641
3,Howard Terminal,-122.282371706,37.7971106983
3,11th Street,-122.271412481,37.801818998
3,Eastlake,-122.255850078,37.7944231238
3,14th Street,-122.277152197,37.8068638055
4,Fillmore,-122.433080914,37.7846039182
4,Van Ness,-122.421646605,37.7855236991
4,Hyde,-122.415320231,37.7807457703
4,Howard,-122.411633937,37.7762549544
4,6th/Brannan,-122.401849454,37.7741419476
4,4th/Brannan,-122.39536519,37.7792782266
4,Alameda,-122.291522713,37.7801048027
4,Jack London Square,-122.275174114,37.7951517078
4,15th/Franklin,-122.269299576,37.8050767312
5,Transbay Transit Center,-122.397182017,37.7891201188
5,14th Street (Oakland),-122.277416331,37.8068326758
5,Existing Emeryville Station,-122.292075032,37.8401614274
5,Berkeley,-122.300859,37.867228
5,Richmond,-122.353872,37.936815
6,Fillmore,-122.433080914,37.7846039182
6,Van Ness,-122.421646605,37.7855236991
6,Hyde,-122.415320231,37.7807457703
6,Howard,-122.411633937,37.7762549544
6,6th/Brannan,-122.401849454,37.7741419476
6,4th/Brannan,-122.39536519,37.7792782266
6,Alameda,-122.294181113,37.7805728641
6,Howard Terminal,-122.282371706,37.7971106983
6,11th Street,-122.271412481,37.801818998
6,Eastlake,-122.255850078,37.7944231238
6,14th Street,-122.277152197,37.8068638055
6,Transbay Transit Center,-122.397182017,37.7891201188
6,14th Street (Oakland),-122.277416331,37.8068326758
6,Existing Emeryville Station,-122.292075032,37.8401614274
6,Berkeley,-122.300859,37.867228
6,Richmond,-122.353872,37.936815
